WEEK,PRODUCT,CATEGORY,MANUFACTURER,BRAND,SUBCATEGORY,SIZE,UNITS,SALES,BASE_PRICE,PRICE,INVENTORY
1/3/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,11,13392.61,1249,1217.51,9
1/3/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,8,8156.08,1099,1019.51,31
1/3/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,23,19650.28,899,854.36,34
1/3/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,14,8874.46,649,633.89,16
1/3/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,28,34759.2,1299,1241.4,37
1/3/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,13,14285.96,1199,1098.92,31
1/3/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,17,11017.02,649,648.06,42
1/3/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,26,32222.58,1249,1239.33,4
1/3/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,15,15342.6,1099,1022.84,2
1/10/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,28,784.28,29.99,28.01,28
1/10/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,18,21316.32,1299,1184.24,25
1/10/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,24,14786.4,649,616.1,33
1/10/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,11,11955.68,1199,1086.88,22
1/10/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,10,11830.8,1249,1183.08,13
1/10/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,8,9561.6,1299,1195.2,45
1/10/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,18,14740.74,899,818.93,19
1/10/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,19,24209.61,1299,1274.19,8
1/10/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,2,2083.42,1099,1041.71,0
1/17/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,19,11681.01,649,614.79,24
1/17/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,25,32304.75,1299,1292.19,5
1/17/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,24,684.24,29.99,28.51,23
